code,name,nature
SH688001,华兴源创,波段
SZ002028,思源电气,波段
SZ300232,洲明科技,波段
SZ300601,康泰生物,波段
SH600388,龙净环保,波段
SH688158,优刻得-W,波段
SZ000088,盐田港,波段
SH600098,广州发展,波段
SH688800,瑞可达,波段
SH688065,凯赛生物,波段
SH600546,山煤国际,波段
SH600161,天坛生物,波段
SH688709,成都华微,波段
SZ000983,山西焦煤,波段
SH603203,快克智能,波段
SH600348,华阳股份,波段
SH688787,海天瑞声,波段
SH688623,双元科技,波段
SH603039,泛微网络,波段
SH605111,新洁能,波段
SZ002252,上海莱士,波段
SH688213,思特威-W,波段
SZ002270,华明装备,波段
SZ000027,深圳能源,波段
SH688187,时代电气,波段
SH688559,海目星,波段
SZ300855,图南股份,波段
SH688333,铂力特,波段
SH600362,江西铜业,波段
SZ002130,沃尔核材,波段
SH688617,惠泰医疗,波段
SH603338,浙江鼎力,波段
SH600323,瀚蓝环境,波段
SH688122,西部超导,波段
SZ002608,江苏国信,波段
SH688305,科德数控,波段
SZ300012,华测检测,波段
SH603505,金石资源,波段
SH688690,纳微科技,波段
SZ300916,朗特智能,波段
SH688322,奥比中光-UW,波段
SH603589,口子窖,波段
SH688686,奥普特,波段
SH600216,浙江医药,波段
SH688047,龙芯中科,波段
SH601333,广深铁路,波段
SH688202,美迪西,波段
SH688139,海尔生物,波段
SH601099,太平洋,波段
SH600428,中远海特,波段
SH601019,山东出版,波段
SH688262,国芯科技,波段
SH600029,南方航空,波段
SH600583,海油工程,波段
SH600461,洪城环境,波段
SH600685,中船防务,波段
SZ300666,江丰电子,波段
SZ000875,吉电股份,波段
SH600008,首创环保,波段
SH601117,中国化学,波段
SH600773,西藏城投,波段
SH688160,步科股份,波段
SH603858,步长制药,波段
SH688320,禾川科技,波段
SH688007,光峰科技,波段
SH600285,羚锐制药,波段
SZ000703,恒逸石化,波段
SZ000937,冀中能源,波段
SZ300761,立华股份,波段
SZ002100,天康生物,波段
SH600153,建发股份,波段
SZ300567,精测电子,波段
SZ000893,亚钾国际,波段
SH600717,天津港,波段
SH600988,赤峰黄金,波段
SH600352,浙江龙盛,波段
SZ002223,鱼跃医疗,波段
SH601901,方正证券,波段
SZ300373,扬杰科技,波段
SH688768,容知日新,波段
SZ002517,恺英网络,波段
SH600755,厦门国贸,波段
SH601567,三星医疗,波段
SH600575,淮河能源,波段
SH601598,中国外运,波段
SZ000921,海信家电,波段
SH600486,扬农化工,波段
SH605296,神农集团,波段
SH603599,广信股份,波段
SH688183,生益电子,波段
SZ002557,洽洽食品,波段
SZ000539,粤电力Ａ,波段
SZ000630,铜陵有色,波段
SH601058,赛轮轮胎,波段
SH688208,道通科技,波段
SZ002831,裕同科技,波段
SH688127,蓝特光学,波段
SH605358,立昂微,波段
SH601038,一拖股份,波段
SH603228,景旺电子,波段
SZ300723,一品红,波段
SZ300779,惠城环保,波段
SH600549,厦门钨业,波段
SZ300866,安克创新,波段
SZ000528,柳工,波段
SH603358,华达科技,波段
SZ002426,胜利精密,波段
SH600578,京能电力,波段
SH688516,奥特维,波段
SH600256,广汇能源,波段
SH601228,广州港,波段
SH688155,先惠技术,波段
SH688268,华特气体,波段
SZ002126,银轮股份,波段
SH605566,福莱蒽特,波段
SZ300487,蓝晓科技,波段
SH688660,电气风电,波段
SH601098,中南传媒,波段
SH601111,中国国航,波段
SH600460,士兰微,波段
SH600177,雅戈尔,波段
SH688228,开普云,波段
SZ003006,百亚股份,波段
SH601827,三峰环境,波段
SZ300633,开立医疗,波段
SZ301207,华兰疫苗,波段
SZ001222,源飞宠物,波段
SH603596,伯特利,波段
SZ002690,美亚光电,波段
SZ002997,瑞鹄模具,波段
SZ002958,青农商行,波段
SH601107,四川成渝,波段
SH600507,方大特钢,波段
SH688365,光云科技,波段
SH603360,百傲化学,波段
SH600115,中国东航,波段
SH601233,桐昆股份,波段
SH601866,中远海发,波段
SZ002399,海普瑞,波段
SZ000878,云南铜业,波段
SH601216,君正集团,波段
SH600598,北大荒,波段
SH605008,长鸿高科,波段
SH600877,电科芯片,波段
SH688639,华恒生物,波段
SH688100,威胜信息,波段
SZ002595,豪迈科技,波段
SH603379,三美股份,波段
SZ000902,新洋丰,波段
SH600022,山东钢铁,波段
SH601061,中信金属,波段
SH688269,凯立新材,波段
SZ002139,拓邦股份,波段
SH688336,三生国健,波段
SH600060,海信视像,波段
SH688327,云从科技-UW,波段
SH603786,科博达,波段
SH688563,航材股份,波段
SH603605,珀莱雅,波段
SH600033,福建高速,波段
SH603279,景津装备,波段
SZ300456,赛微电子,波段
SH603300,海南华铁,波段
SH603568,伟明环保,波段
SH600170,上海建工,波段
SZ002892,科力尔,波段
SH688006,杭可科技,波段
SH688166,博瑞医药,波段
SZ002007,华兰生物,波段
SZ002993,奥海科技,波段
SH688025,杰普特,波段
SZ300517,海波重科,波段
SH601666,平煤股份,波段
SH688520,神州细胞,波段
SH600497,驰宏锌锗,波段
SH688128,中国电研,波段
SZ300759,康龙化成,波段
SH688475,萤石网络,波段
SH603328,依顿电子,波段
SZ300832,新产业,波段
SZ002157,正邦科技,波段
SH600956,新天绿能,波段
SZ000582,北部湾港,波段
SZ300360,炬华科技,波段
SZ300428,立中集团,波段
SH600835,上海机电,波段
SZ300811,铂科新材,波段
SH600339,中油工程,波段
SH601997,贵阳银行,波段
SH605589,圣泉集团,波段
SH601858,中国科传,波段
SH600007,中国国贸,波段
SH688093,世华科技,波段
SH600888,新疆众和,波段
SH601611,中国核建,波段
SH688538,和辉光电-U,波段
SH600997,开滦股份,波段
SZ301358,湖南裕能,波段
SH688443,智翔金泰-U,波段
SH601158,重庆水务,波段
SH688383,新益昌,波段
SH603730,岱美股份,波段
SH601108,财通证券,波段
SZ300009,安科生物,波段
SH601991,大唐发电,波段
