code,name,nature
SZ000725,京东方Ａ,中长线
SH600372,中航机载,中长线
SH601669,中国电建,中长线
SH600298,安琪酵母,中长线
SH603259,药明康德,中长线
SZ300059,东方财富,中长线
SZ000708,中信特钢,中长线
SH600993,马应龙,中长线
SH600584,长电科技,中长线
SH600559,老白干酒,中长线
SZ002475,立讯精密,中长线
SH600009,上海机场,中长线
SZ002230,科大讯飞,中长线
SZ000617,中油资本,中长线
SZ002920,德赛西威,中长线
SZ002241,歌尔股份,中长线
SH688036,传音控股,中长线
SZ002304,洋河股份,中长线
SZ000895,双汇发展,中长线
SH600779,水井坊,中长线
SH603260,合盛硅业,中长线
SZ002648,卫星化学,中长线
SH600887,伊利股份,中长线
SZ300476,胜宏科技,中长线
SZ301165,锐捷网络,中长线
SH600048,保利发展,中长线
SH601689,拓普集团,中长线
SZ000063,中兴通讯,中长线
SH600905,三峡能源,中长线
SZ300357,我武生物,中长线
SZ002625,光启技术,中长线
SH600839,四川长虹,中长线
SZ002668,TCL智家,中长线
SH601698,中国卫通,中长线
SH600111,北方稀土,中长线
SZ000963,华东医药,中长线
SZ000977,浪潮信息,中长线
SZ001979,招商蛇口,中长线
SZ000938,紫光股份,中长线
SH601238,广汽集团,中长线
SZ000768,中航西飞,中长线
SZ002050,三花智控,中长线
SH601888,中国中免,中长线
SH600422,昆药集团,中长线
SZ000513,丽珠集团,中长线
SZ000100,TCL科技,中长线
SZ002841,视源股份,中长线
SH600588,用友网络,中长线
SH601360,三六零,中长线
SZ000002,万科Ａ,中长线
SZ002460,赣锋锂业,中长线
SH603019,中科曙光,中长线
SZ300015,爱尔眼科,中长线
SH600085,同仁堂,中长线
SZ300124,汇川技术,中长线
SH603799,华友钴业,中长线
SZ301511,德福科技,中长线
SH600570,恒生电子,中长线
SH601012,隆基绿能,中长线
SZ000999,华润三九,中长线
SZ001391,国货航,中长线
SZ302132,中航成飞,中长线
